Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
231.427890	1.72000000	1.78159413	0.561295070	2026.33321	2991.76073	38.0869317	9.78924362	13.9785726	1180.89093	-0.145160407	7.48958637	0.153665806	supercritical
232.071295	1.72000000	1.77667269	0.562849873	2032.65460	3000.75639	38.1257480	9.79521132	13.9840821	1182.39126	-0.147267021	7.50384500	0.154020454	supercritical
232.714700	1.72000000	1.77177864	0.564404592	2038.97967	3009.75557	38.1644721	9.80112836	13.9895450	1183.89007	-0.149359265	7.51809153	0.154374555	supercritical
233.358105	1.72000000	1.76691173	0.565959229	2045.30839	3018.75826	38.2031042	9.80699508	13.9949616	1185.38735	-0.151437288	7.53232600	0.154728109	supercritical
234.001510	1.72000000	1.76207174	0.567513783	2051.64071	3027.76442	38.2416448	9.81281183	14.0003323	1186.88312	-0.153501236	7.54654847	0.155081118	supercritical
234.644915	1.72000000	1.75725845	0.569068256	2057.97662	3036.77402	38.2800943	9.81857894	14.0056573	1188.37738	-0.155551254	7.56075898	0.155433583	supercritical
235.288320	1.72000000	1.75247163	0.570622648	2064.31608	3045.78703	38.3184530	9.82429675	14.0109370	1189.87013	-0.157587487	7.57495757	0.155785507	supercritical
235.931725	1.72000000	1.74771106	0.572176960	2070.65905	3054.80342	38.3567213	9.82996559	14.0161715	1191.36138	-0.159610073	7.58914430	0.156136889	supercritical
236.575130	1.72000000	1.74297652	0.573731193	2077.00552	3063.82317	38.3948996	9.83558581	14.0213612	1192.85114	-0.161619153	7.60331920	0.156487732	supercritical
237.218535	1.72000000	1.73826781	0.575285347	2083.35545	3072.84624	38.4329882	9.84115773	14.0265064	1194.33940	-0.163614865	7.61748233	0.156838038	supercritical
237.861940	1.72000000	1.73358470	0.576839423	2089.70880	3081.87261	38.4709876	9.84668169	14.0316074	1195.82618	-0.165597342	7.63163373	0.157187807	supercritical
238.505345	1.72000000	1.72892699	0.578393422	2096.06556	3090.90225	38.5088980	9.85215801	14.0366645	1197.31148	-0.167566720	7.64577344	0.157537042	supercritical
239.148750	1.72000000	1.72429447	0.579947344	2102.42569	3099.93512	38.5467198	9.85758702	14.0416779	1198.79530	-0.169523130	7.65990152	0.157885743	supercritical
239.792155	1.72000000	1.71968694	0.581501190	2108.78916	3108.97121	38.5844535	9.86296906	14.0466480	1200.27765	-0.171466702	7.67401799	0.158233913	supercritical
240.435560	1.72000000	1.71510418	0.583054962	2115.15594	3118.01048	38.6220993	9.86830445	14.0515749	1201.75854	-0.173397565	7.68812292	0.158581553	supercritical
241.078965	1.72000000	1.71054600	0.584608658	2121.52601	3127.05291	38.6596576	9.87359350	14.0564591	1203.23796	-0.175315846	7.70221633	0.158928664	supercritical
241.722370	1.72000000	1.70601220	0.586162280	2127.89934	3136.09846	38.6971287	9.87883655	14.0613008	1204.71592	-0.177221669	7.71629828	0.159275249	supercritical
242.365775	1.72000000	1.70150258	0.587715829	2134.27589	3145.14712	38.7345131	9.88403391	14.0661002	1206.19243	-0.179115159	7.73036881	0.159621308	supercritical
243.009180	1.72000000	1.69701695	0.589269306	2140.65564	3154.19885	38.7718110	9.88918590	14.0708577	1207.66750	-0.180996437	7.74442797	0.159966844	supercritical
243.652585	1.72000000	1.69255512	0.590822710	2147.03857	3163.25363	38.8090228	9.89429284	14.0755735	1209.14112	-0.182865624	7.75847578	0.160311858	supercritical
244.295990	1.72000000	1.68811689	0.592376042	2153.42464	3172.31143	38.8461489	9.89935505	14.0802479	1210.61330	-0.184722838	7.77251231	0.160656352	supercritical
244.939395	1.72000000	1.68370207	0.593929304	2159.81382	3181.37223	38.8831895	9.90437284	14.0848812	1212.08404	-0.186568197	7.78653759	0.161000327	supercritical
245.582800	1.72000000	1.67931049	0.595482496	2166.20610	3190.43599	38.9201451	9.90934653	14.0894736	1213.55336	-0.188401817	7.80055165	0.161343785	supercritical
246.226205	1.72000000	1.67494195	0.597035617	2172.60143	3199.50269	38.9570159	9.91427641	14.0940255	1215.02125	-0.190223811	7.81455455	0.161686728	supercritical
