Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
37.7629850	41.0700000	85.6330156	0.0116777389	78.0493473	557.654085	1.41713650	6.73807549	9.33108429	1895.60107	-1.00837220	21.8664931	0.195904574	supercritical
38.4063900	41.0700000	85.3489092	0.0117166114	82.4867978	563.688027	1.57557288	6.76964889	9.42485690	1891.87485	-0.995566625	21.4034545	0.196384824	supercritical
39.0497950	41.0700000	85.0635069	0.0117559226	86.9659147	569.781654	1.73291825	6.79988778	9.51661859	1888.13149	-0.983209161	20.9622874	0.196809908	supercritical
39.6932000	41.0700000	84.7768920	0.0117956672	91.4856288	575.933679	1.88917552	6.82882688	9.60638457	1884.37264	-0.971277649	20.5415815	0.197181830	supercritical
40.3366050	41.0700000	84.4891451	0.0118358400	96.0448751	582.142822	2.04434775	6.85650339	9.69417485	1880.59993	-0.959750883	20.1400414	0.197502569	supercritical
40.9800100	41.0700000	84.2003445	0.0118764360	100.642596	588.407821	2.19843820	6.88295654	9.78001350	1876.81494	-0.948608618	19.7564753	0.197774082	supercritical
41.6234150	41.0700000	83.9105658	0.0119174503	105.277744	594.727429	2.35145038	6.90822709	9.86392803	1873.01923	-0.937831565	19.3897846	0.197998300	supercritical
42.2668200	41.0700000	83.6198824	0.0119588783	109.949283	601.100416	2.50338809	6.93235700	9.94594886	1869.21431	-0.927401378	19.0389559	0.198177125	supercritical
42.9102250	41.0700000	83.3283653	0.0120007154	114.656193	607.525576	2.65425543	6.95538909	10.0261088	1865.40162	-0.917300632	18.7030525	0.198312426	supercritical
43.5536300	41.0700000	83.0360835	0.0120429572	119.397469	614.001722	2.80405681	6.97736673	10.1044425	1861.58259	-0.907512796	18.3812079	0.198406042	supercritical
44.1970350	41.0700000	82.7431036	0.0120855994	124.172124	620.527690	2.95279700	6.99833359	10.1809865	1857.75855	-0.898022206	18.0726191	0.198459778	supercritical
44.8404400	41.0700000	82.4494904	0.0121286377	128.979190	627.102341	3.10048105	7.01833348	10.2557782	1853.93083	-0.888814029	17.7765414	0.198475405	supercritical
45.4838450	41.0700000	82.1553068	0.0121720682	133.817718	633.724560	3.24711438	7.03741005	10.3288563	1850.10066	-0.879874229	17.4922829	0.198454657	supercritical
46.1272500	41.0700000	81.8606136	0.0122158869	138.686781	640.393258	3.39270271	7.05560675	10.4002598	1846.26925	-0.871189534	17.2192007	0.198399230	supercritical
46.7706550	41.0700000	81.5654701	0.0122600899	143.585474	647.107368	3.53725207	7.07296660	10.4700286	1842.43777	-0.862747402	16.9566959	0.198310785	supercritical
47.4140600	41.0700000	81.2699337	0.0123046735	148.512912	653.865853	3.68076877	7.08953210	10.5382025	1838.60730	-0.854535982	16.7042106	0.198190944	supercritical
48.0574650	41.0700000	80.9740602	0.0123496339	153.468234	660.667699	3.82325944	7.10534513	10.6048215	1834.77893	-0.846544086	16.4612243	0.198041289	supercritical
48.7008700	41.0700000	80.6779037	0.0123949676	158.450600	667.511918	3.96473095	7.12044687	10.6699256	1830.95366	-0.838761151	16.2272511	0.197863365	supercritical
49.3442750	41.0700000	80.3815170	0.0124406709	163.459195	674.397550	4.10519044	7.13487769	10.7335546	1827.13248	-0.831177210	16.0018365	0.197658676	supercritical
49.9876800	41.0700000	80.0849513	0.0124867404	168.493226	681.323656	4.24464526	7.14867710	10.7957478	1823.31632	-0.823782859	15.7845555	0.197190066	supercritical
50.6310850	41.0700000	79.7882565	0.0125331727	173.551922	688.289326	4.38310300	7.16188373	10.8565443	1819.50609	-0.816569229	15.5750098	0.196929456	supercritical
51.2744900	41.0700000	79.4914809	0.0125799644	178.634537	695.293674	4.52057146	7.17453522	10.9159826	1815.70265	-0.809527958	15.3728264	0.196646327	supercritical
51.9178950	41.0700000	79.1946719	0.0126271121	183.740344	702.335839	4.65705859	7.18666825	10.9741005	1811.90685	-0.802651161	15.1776550	0.196342027	supercritical
52.5613000	41.0700000	78.8978753	0.0126746125	188.868644	709.414981	4.79257256	7.19831845	11.0309355	1808.11949	-0.795931408	14.9891667	0.196017867	supercritical
53.2047050	41.0700000	78.6011358	0.0127224625	194.018756	716.530289	4.92712164	7.20952041	11.0865241	1804.34134	-0.789361699	14.8070525	0.195675117	supercritical
53.8481100	41.0700000	78.3044970	0.0127706586	199.190022	723.680972	5.06071427	7.22030767	11.1409021	1800.57316	-0.782935437	14.6310216	0.195315010	supercritical
54.4915150	41.0700000	78.0080013	0.0128191978	204.381807	730.866261	5.19335900	7.23071268	11.1941046	1796.81568	-0.776646409	14.4608005	0.194938739	supercritical
55.1349200	41.0700000	77.7116900	0.0128680769	209.593496	738.085413	5.32506449	7.24076679	11.2461659	1793.06960	-0.770488767	14.2961312	0.194547460	supercritical
55.7783250	41.0700000	77.4156035	0.0129172926	214.824497	745.337703	5.45583948	7.25050028	11.2971195	1789.33561	-0.764457001	14.1367706	0.194142289	supercritical
56.4217300	41.0700000	77.1197810	0.0129668418	220.074236	752.622429	5.58569280	7.25994230	11.3469979	1785.61437	-0.758545929	13.9824894	0.193724308	supercritical
57.0651350	41.0700000	76.8242608	0.0130167214	225.342161	759.938909	5.71463335	7.26912095	11.3958329	1781.90654	-0.752750673	13.8330710	0.193294559	supercritical
57.7085400	41.0700000	76.5290801	0.0130669283	230.627739	767.286483	5.84267007	7.27806320	11.4436554	1778.21274	-0.747066642	13.6883107	0.192854049	supercritical
58.3519450	41.0700000	76.2342755	0.0131174592	235.930458	774.664509	5.96981193	7.28679496	11.4904954	1774.53360	-0.741489521	13.5480150	0.192403750	supercritical
58.9953500	41.0700000	75.9398823	0.0131683112	241.249823	782.072363	6.09606796	7.29534106	11.5363821	1770.86972	-0.736015250	13.4120008	0.191944598	supercritical
59.6387550	41.0700000	75.6459350	0.0132194810	246.585358	789.509442	6.22144718	7.30372526	11.5813438	1767.22169	-0.730640012	13.2800947	0.191477493	supercritical
60.2821600	41.0700000	75.3524676	0.0132709655	251.936605	796.975159	6.34595863	7.31197028	11.6254078	1763.59009	-0.725360221	13.1521326	0.191003304	supercritical
60.9255650	41.0700000	75.0595127	0.0133227617	257.303124	804.468946	6.46961136	7.32009780	11.6686009	1759.97549	-0.720172505	13.0279586	0.190522864	supercritical
61.5689700	41.0700000	74.7671025	0.0133748663	262.684492	811.990251	6.59241438	7.32812847	11.7109487	1756.37846	-0.715073697	12.9074251	0.190036974	supercritical
62.2123750	41.0700000	74.4752682	0.0134272762	268.080301	819.538536	6.71437671	7.33608197	11.7524762	1752.79954	-0.710060821	12.7903919	0.189546405	supercritical
62.8557800	41.0700000	74.1840403	0.0134799884	273.490162	827.113284	6.83550733	7.34397696	11.7932075	1749.23927	-0.705131083	12.6767258	0.189051893	supercritical
63.4991850	41.0700000	73.8934484	0.0135329995	278.913698	834.713988	6.95581520	7.35183117	11.8331658	1745.69818	-0.700281858	12.5663002	0.188554146	supercritical
64.1425900	41.0700000	73.6035213	0.0135863065	284.350551	842.340159	7.07530922	7.35966136	11.8723739	1742.17681	-0.695510683	12.4589949	0.188053842	supercritical
64.7859950	41.0700000	73.3142874	0.0136399062	289.800375	849.991321	7.19399826	7.36748338	11.9108533	1738.67566	-0.690815244	12.3546954	0.187551628	supercritical
65.4294000	41.0700000	73.0257739	0.0136937953	295.262839	857.667012	7.31189113	7.37531218	11.9486253	1735.19524	-0.686193369	12.2532926	0.187048123	supercritical
66.0728050	41.0700000	72.7380076	0.0137479707	300.737626	865.366784	7.42899661	7.38316184	11.9857101	1731.73606	-0.681643019	12.1546828	0.186543919	supercritical
66.7162100	41.0700000	72.4510144	0.0138024293	306.224431	873.090201	7.54532337	7.39104559	12.0221272	1728.29861	-0.677162280	12.0587671	0.186039581	supercritical
67.3596150	41.0700000	72.1648196	0.0138571676	311.722965	880.836839	7.66088005	7.39897581	12.0578958	1724.88337	-0.672749355	11.9654511	0.185535647	supercritical
68.0030200	41.0700000	71.8794477	0.0139121826	317.232948	888.606286	7.77567522	7.40696409	12.0930340	1721.49083	-0.668402557	11.8746450	0.185032627	supercritical
68.6464250	41.0700000	71.5949227	0.0139674709	322.754114	896.398144	7.88971737	7.41502123	12.1275595	1718.12144	-0.664120300	11.7862629	0.184531011	supercritical
69.2898300	41.0700000	71.3112677	0.0140230293	328.286208	904.212023	8.00301491	7.42315729	12.1614892	1714.77568	-0.659901096	11.7002227	0.184031260	supercritical
69.9332350	41.0700000	71.0285052	0.0140788546	333.828986	912.047546	8.11557617	7.43138158	12.1948398	1711.45399	-0.655743547	11.6164463	0.183533815	supercritical
70.5766400	41.0700000	70.7466571	0.0141349435	339.382216	919.904344	8.22740940	7.43970270	12.2276268	1708.15682	-0.651646336	11.5348587	0.183039090	supercritical
71.2200450	41.0700000	70.4657446	0.0141912926	344.945674	927.782061	8.33852279	7.44812859	12.2598658	1704.88461	-0.647608227	11.4553883	0.182547480	supercritical
71.8634500	41.0700000	70.1857882	0.0142478987	350.519149	935.680348	8.44892441	7.45666650	12.2915714	1701.63777	-0.643628055	11.3779667	0.182059359	supercritical
72.5068550	41.0700000	69.9068078	0.0143047584	356.102437	943.598867	8.55862226	7.46532305	12.3227578	1698.41674	-0.639704724	11.3025283	0.181575077	supercritical
73.1502600	41.0700000	69.6288227	0.0143618686	361.695345	951.537287	8.66762426	7.47410428	12.3534389	1695.22191	-0.635837200	11.2290104	0.181094966	supercritical
73.7936650	41.0700000	69.3518514	0.0144192257	367.297689	959.495290	8.77593821	7.48301559	12.3836277	1692.05368	-0.632024509	11.1573529	0.180619338	supercritical
74.4370700	41.0700000	69.0759120	0.0144768266	372.909293	967.472561	8.88357186	7.49206187	12.4133373	1688.91245	-0.628265728	11.0874981	0.180148486	supercritical
75.0804750	41.0700000	68.8010219	0.0145346678	378.529988	975.468796	8.99053284	7.50124742	12.4425798	1685.79857	-0.624559988	11.0193907	0.179682686	supercritical
75.7238800	41.0700000	68.5271977	0.0145927461	384.159615	983.483699	9.09682869	7.51057606	12.4713673	1682.71243	-0.620906464	10.9529778	0.179222193	supercritical
76.3672850	41.0700000	68.2544557	0.0146510582	389.798022	991.516981	9.20246687	7.52005108	12.4997112	1679.65437	-0.617304374	10.8882085	0.178767250	supercritical
77.0106900	41.0700000	67.9828114	0.0147096006	395.445065	999.568360	9.30745474	7.52967533	12.5276228	1676.62473	-0.613752976	10.8250340	0.178318079	supercritical
77.6540950	41.0700000	67.7122797	0.0147683700	401.100605	1007.63756	9.41179957	7.53945118	12.5551126	1673.62385	-0.610251564	10.7634074	0.177874890	supercritical
78.2975000	41.0700000	67.4428750	0.0148273632	406.764511	1015.72432	9.51550853	7.54938058	12.5821912	1670.65204	-0.606799465	10.7032837	0.177437875	supercritical
78.9409050	41.0700000	67.1746110	0.0148865767	412.436659	1023.82836	9.61858871	7.55946508	12.6088686	1667.70960	-0.603396038	10.6446195	0.177007212	supercritical
79.5843100	41.0700000	66.9075011	0.0149460073	418.116930	1031.94945	9.72104710	7.56970582	12.6351545	1664.79683	-0.600040668	10.5873732	0.176583067	supercritical
80.2277150	41.0700000	66.6415577	0.0150056516	423.805213	1040.08733	9.82289060	7.58010358	12.6610583	1661.91401	-0.596732767	10.5315047	0.176165591	supercritical
80.8711200	41.0700000	66.3767930	0.0150655064	429.501399	1048.24175	9.92412602	7.59065878	12.6865890	1659.06139	-0.593471771	10.4769756	0.175754921	supercritical
81.5145250	41.0700000	66.1132185	0.0151255683	435.205388	1056.41248	10.0247601	7.60137154	12.7117555	1656.23924	-0.590257135	10.4237486	0.175351183	supercritical
82.1579300	41.0700000	65.8508451	0.0151858340	440.917083	1064.59928	10.1247994	7.61224162	12.7365662	1653.44779	-0.587088335	10.3717882	0.174954492	supercritical
82.8013350	41.0700000	65.5896832	0.0152463002	446.636394	1072.80194	10.2242505	7.62326852	12.7610294	1650.68726	-0.583964864	10.3210597	0.174564950	supercritical
83.4447400	41.0700000	65.3297427	0.0153069637	452.363233	1081.02023	10.3231198	7.63445144	12.7851532	1647.95787	-0.580886231	10.2715301	0.174182649	supercritical
84.0881450	41.0700000	65.0710331	0.0153678212	458.097519	1089.25394	10.4214137	7.64578932	12.8089451	1645.25982	-0.577851959	10.2231674	0.173807670	supercritical
84.7315500	41.0700000	64.8135630	0.0154288694	463.839174	1097.50284	10.5191386	7.65728087	12.8324127	1642.59327	-0.574861584	10.1759408	0.173440084	supercritical
85.3749550	41.0700000	64.5573408	0.0154901052	469.588124	1105.76674	10.6163004	7.66892455	12.8555632	1639.95842	-0.571914653	10.1298204	0.173079954	supercritical
86.0183600	41.0700000	64.3023744	0.0155515253	475.344299	1114.04544	10.7129054	7.68071862	12.8784037	1637.35540	-0.569010725	10.0847777	0.172727333	supercritical
86.6617650	41.0700000	64.0486710	0.0156131265	481.107634	1122.33874	10.8089596	7.69266113	12.9009409	1634.78436	-0.566149367	10.0407847	0.172382264	supercritical
87.3051700	41.0700000	63.7962375	0.0156749056	486.878066	1130.64644	10.9044689	7.70474995	12.9231815	1632.24544	-0.563330153	9.99781490	0.172044783	supercritical
87.9485750	41.0700000	63.5450803	0.0157368595	492.655535	1138.96835	10.9994392	7.71698277	12.9451319	1629.73873	-0.560552667	9.95584229	0.171714920	supercritical
88.5919800	41.0700000	63.2952051	0.0157989851	498.439986	1147.30430	11.0938761	7.72935712	12.9667982	1627.26434	-0.557816498	9.91484191	0.171392695	supercritical
89.2353850	41.0700000	63.0466175	0.0158612791	504.231366	1155.65410	11.1877855	7.74187039	12.9881865	1624.82236	-0.555121240	9.87478962	0.171078122	supercritical
89.8787900	41.0700000	62.7993225	0.0159237387	510.029625	1164.01757	11.2811728	7.75451983	13.0093027	1622.41287	-0.552466493	9.83566205	0.170771208	supercritical
90.5221950	41.0700000	62.5533244	0.0159863606	515.834715	1172.39454	11.3740437	7.76730258	13.0301524	1620.03590	-0.549851862	9.79743661	0.170471954	supercritical
91.1656000	41.0700000	62.3086275	0.0160491418	521.646591	1180.78485	11.4664036	7.78021563	13.0507412	1617.69153	-0.547276954	9.76009146	0.170180355	supercritical
91.8090050	41.0700000	62.0652353	0.0161120794	527.465212	1189.18831	11.5582578	7.79325591	13.0710743	1615.37977	-0.544741381	9.72360542	0.169896400	supercritical
92.4524100	41.0700000	61.8231512	0.0161751703	533.290537	1197.60478	11.6496116	7.80642023	13.0911569	1613.10065	-0.542244758	9.68795803	0.169620072	supercritical
93.0958150	41.0700000	61.5823779	0.0162384116	539.122528	1206.03409	11.7404704	7.81970534	13.1109941	1610.85418	-0.539786701	9.65312946	0.169351352	supercritical
93.7392200	41.0700000	61.3429179	0.0163018003	544.961149	1214.47609	11.8308391	7.83310789	13.1305908	1608.64035	-0.537366829	9.61910048	0.169090212	supercritical
94.3826250	41.0700000	61.1047732	0.0163653336	550.806366	1222.93062	11.9207229	7.84662449	13.1499518	1606.45915	-0.534984763	9.58585250	0.168836623	supercritical
95.0260300	41.0700000	60.8679456	0.0164290086	556.658147	1231.39753	12.0101268	7.86025169	13.1690815	1604.31054	-0.532640127	9.55336747	0.168590550	supercritical
95.6694350	41.0700000	60.6324363	0.0164928223	562.516461	1239.87667	12.0990557	7.87398597	13.1879846	1602.19449	-0.530332543	9.52162790	0.168351954	supercritical
96.3128400	41.0700000	60.3982462	0.0165567721	568.381280	1248.36791	12.1875146	7.88782381	13.2066653	1600.11095	-0.528061639	9.49061684	0.168120793	supercritical
96.9562450	41.0700000	60.1653760	0.0166208552	574.252576	1256.87110	12.2755080	7.90176162	13.2251280	1598.05985	-0.525827040	9.46031782	0.167897022	supercritical
97.5996500	41.0700000	59.9338259	0.0166850687	580.130322	1265.38609	12.3630409	7.91579579	13.2433766	1596.04113	-0.523628373	9.43071490	0.167680591	supercritical
98.2430550	41.0700000	59.7035957	0.0167494100	586.014495	1273.91276	12.4501179	7.92992272	13.2614152	1594.05469	-0.521465269	9.40179259	0.167471449	supercritical
98.8864600	41.0700000	59.4746851	0.0168138763	591.905070	1282.45097	12.5367435	7.94413875	13.2792476	1592.10046	-0.519337354	9.37353584	0.167269540	supercritical
99.5298650	41.0700000	59.2470934	0.0168784651	597.802024	1291.00059	12.6229223	7.95844026	13.2968777	1590.17832	-0.517244261	9.34593006	0.167074808	supercritical
100.173270	41.0700000	59.0208196	0.0169431737	603.705337	1299.56148	12.7086588	7.97282358	13.3143090	1588.28816	-0.515185619	9.31896106	0.166887192	supercritical
100.816675	41.0700000	58.7958622	0.0170079996	609.614988	1308.13353	12.7939573	7.98728509	13.3315452	1586.42987	-0.513161060	9.29261508	0.166706631	supercritical
101.460080	41.0700000	58.5722197	0.0170729401	615.530956	1316.71661	12.8788222	8.00182114	13.3485896	1584.60331	-0.511170217	9.26687874	0.166533060	supercritical
102.103485	41.0700000	58.3498902	0.0171379928	621.453223	1325.31059	12.9632578	8.01642811	13.3654457	1582.80835	-0.509212723	9.24173901	0.166366415	supercritical
102.746890	41.0700000	58.1288716	0.0172031552	627.381772	1333.91536	13.0472683	8.03110239	13.3821166	1581.04483	-0.507288211	9.21718327	0.166206626	supercritical
103.390295	41.0700000	57.9091613	0.0172684248	633.316583	1342.53079	13.1308578	8.04584039	13.3986057	1579.31262	-0.505396317	9.19319921	0.166053625	supercritical
104.033700	41.0700000	57.6907569	0.0173337993	639.257641	1351.15678	13.2140305	8.06063856	13.4149159	1577.61154	-0.503536675	9.16977487	0.165907341	supercritical
104.677105	41.0700000	57.4736552	0.0173992762	645.204929	1359.79320	13.2967905	8.07549336	13.4310502	1575.94142	-0.501708923	9.14689863	0.165767702	supercritical
105.320510	41.0700000	57.2578533	0.0174648532	651.158431	1368.43995	13.3791416	8.09040127	13.4470116	1574.30210	-0.499912697	9.12455917	0.165634635	supercritical
105.963915	41.0700000	57.0433476	0.0175305279	657.118131	1377.09691	13.4610879	8.10535883	13.4628029	1572.69339	-0.498147636	9.10274548	0.165508066	supercritical
106.607320	41.0700000	56.8301347	0.0175962982	663.084015	1385.76398	13.5426331	8.12036261	13.4784268	1571.11511	-0.496413379	9.08144682	0.165387920	supercritical
107.250725	41.0700000	56.6182108	0.0176621618	669.056068	1394.44105	13.6237813	8.13540920	13.4938860	1569.56705	-0.494709568	9.06065278	0.165274121	supercritical
107.894130	41.0700000	56.4075717	0.0177281164	675.034274	1403.12802	13.7045360	8.15049524	13.5091832	1568.04902	-0.493035844	9.04035317	0.165166592	supercritical
108.537535	41.0700000	56.1982134	0.0177941600	681.018621	1411.82477	13.7849011	8.16561744	13.5243208	1566.56083	-0.491391850	9.02053811	0.165065256	supercritical
109.180940	41.0700000	55.9901315	0.0178602903	687.009093	1420.53121	13.8648802	8.18077252	13.5393013	1565.10224	-0.489777231	9.00119796	0.164970036	supercritical
109.824345	41.0700000	55.7833213	0.0179265052	693.005677	1429.24725	13.9444770	8.19595725	13.5541272	1563.67307	-0.488191633	8.98232331	0.164880853	supercritical
110.467750	41.0700000	55.5777782	0.0179928027	699.008360	1437.97277	14.0236949	8.21116848	13.5688007	1562.27307	-0.486634703	8.96390501	0.164797629	supercritical
111.111155	41.0700000	55.3734974	0.0180591808	705.017127	1446.70768	14.1025375	8.22640306	13.5833241	1560.90204	-0.485106091	8.94593415	0.164720285	supercritical
111.754560	41.0700000	55.1704736	0.0181256374	711.031965	1455.45189	14.1810084	8.24165795	13.5976996	1559.55975	-0.483605447	8.92840201	0.164648743	supercritical
112.397965	41.0700000	54.9687018	0.0181921706	717.052860	1464.20531	14.2591109	8.25693010	13.6119294	1558.24596	-0.482132424	8.91130011	0.164582923	supercritical
113.041370	41.0700000	54.7681765	0.0182587784	723.079800	1472.96783	14.3368483	8.27221657	13.6260156	1556.96045	-0.480686677	8.89462019	0.164522747	supercritical
113.684775	41.0700000	54.5688924	0.0183254590	729.112769	1481.73937	14.4142241	8.28751444	13.6399602	1555.70297	-0.479267861	8.87835418	0.164468136	supercritical
114.328180	41.0700000	54.3708438	0.0183922104	735.151755	1490.51984	14.4912416	8.30282086	13.6537651	1554.47329	-0.477875636	8.86249420	0.164419010	supercritical
114.971585	41.0700000	54.1740250	0.0184590309	741.196743	1499.30914	14.5679039	8.31813301	13.6674324	1553.27117	-0.476509661	8.84703257	0.164375291	supercritical
115.614990	41.0700000	53.9784301	0.0185259186	747.247721	1508.10720	14.6442142	8.33344817	13.6809639	1552.09636	-0.475169600	8.83196181	0.164336901	supercritical
116.258395	41.0700000	53.7840532	0.0185928717	753.304674	1516.91391	14.7201758	8.34876364	13.6943614	1550.94861	-0.473855116	8.81727459	0.164303762	supercritical
116.901800	41.0700000	53.5908882	0.0186598885	759.367588	1525.72921	14.7957918	8.36407680	13.7076267	1549.82768	-0.472565876	8.80296377	0.164275795	supercritical
117.545205	41.0700000	53.3989290	0.0187269673	765.436449	1534.55300	14.8710651	8.37938506	13.7207616	1548.73331	-0.471301551	8.78902239	0.164252923	supercritical
118.188610	41.0700000	53.2081694	0.0187941065	771.511242	1543.38519	14.9459989	8.39468592	13.7337678	1547.66526	-0.470061810	8.77544363	0.164235069	supercritical
118.832015	41.0700000	53.0186028	0.0188613043	777.591954	1552.22572	15.0205962	8.40997690	13.7466469	1546.62327	-0.468846329	8.76222085	0.164222156	supercritical
119.475420	41.0700000	52.8302231	0.0189285591	783.678568	1561.07449	15.0948598	8.42525562	13.7594006	1545.60708	-0.467654783	8.74934755	0.164214107	supercritical
120.118825	41.0700000	52.6430236	0.0189958694	789.771071	1569.93143	15.1687928	8.44051973	13.7720303	1544.61645	-0.466486852	8.73681740	0.164210848	supercritical
120.762230	41.0700000	52.4569977	0.0190632336	795.869448	1578.79645	15.2423979	8.45576694	13.7845378	1543.65111	-0.465342216	8.72462418	0.164212302	supercritical
121.405635	41.0700000	52.2721389	0.0191306501	801.973682	1587.66948	15.3156781	8.47099501	13.7969244	1542.71081	-0.464220560	8.71276185	0.164218396	supercritical
122.049040	41.0700000	52.0884404	0.0191981175	808.083759	1596.55045	15.3886360	8.48620178	13.8091916	1541.79529	-0.463121571	8.70122448	0.164229054	supercritical
122.692445	41.0700000	51.9058955	0.0192656343	814.199663	1605.43926	15.4612746	8.50138512	13.8213410	1540.90430	-0.462044937	8.69000629	0.164244204	supercritical
123.335850	41.0700000	51.7244973	0.0193331990	820.321377	1614.33586	15.5335965	8.51654297	13.8333737	1540.03757	-0.460990350	8.67910162	0.164263772	supercritical
123.979255	41.0700000	51.5442390	0.0194008103	826.448885	1623.24016	15.6056044	8.53167333	13.8452914	1539.19485	-0.459957506	8.66850495	0.164287686	supercritical
124.622660	41.0700000	51.3651136	0.0194684666	832.582171	1632.15210	15.6773009	8.54677424	13.8570952	1538.37588	-0.458946102	8.65821086	0.164315876	supercritical
125.266065	41.0700000	51.1871142	0.0195361668	838.721218	1641.07159	15.7486887	8.56184381	13.8687865	1537.58040	-0.457955838	8.64821406	0.164348269	supercritical
125.909470	41.0700000	51.0102339	0.0196039093	844.866009	1649.99856	15.8197705	8.57688018	13.8803666	1536.80816	-0.456986417	8.63850939	0.164384795	supercritical
126.552875	41.0700000	50.8344655	0.0196716930	851.016526	1658.93296	15.8905486	8.59188157	13.8918367	1536.05889	-0.456037545	8.62909177	0.164425386	supercritical
127.196280	41.0700000	50.6598021	0.0197395165	857.172752	1667.87470	15.9610257	8.60684624	13.9031981	1535.33235	-0.455108931	8.61995627	0.164469972	supercritical
127.839685	41.0700000	50.4862365	0.0198073786	863.334670	1676.82371	16.0312043	8.62177250	13.9144519	1534.62827	-0.454200285	8.61109804	0.164518486	supercritical
