Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
13.9570000	41.0700000	94.3210490	0.0106020874	-52.7942535	382.633474	-5.59019988	5.33186512	5.76932255	2057.66749	-1.76507568	117.558996	0.123311833	liquid
24.2514800	41.0700000	91.1223000	0.0109742621	-3.89544134	446.817501	-2.17690927	5.78088826	6.98707060	1968.41535	-1.42061893	41.5274494	0.169528357	liquid
24.8948850	41.0700000	90.8895221	0.0110023683	-0.516744391	451.350523	-1.99243513	5.83343464	7.10392709	1965.04959	-1.39408978	39.8089099	0.171618705	liquid
25.5382900	41.0700000	90.6531215	0.0110310597	2.91357771	455.959202	-1.80966787	5.88646741	7.22216421	1961.72192	-1.36810708	38.2231147	0.173615983	liquid
26.1816950	41.0700000	90.4132137	0.0110603302	6.39650952	460.644272	-1.62849407	5.93967611	7.34131370	1958.41519	-1.34275040	36.7561898	0.175521238	liquid
26.8251000	41.0700000	90.1699186	0.0110901730	9.93277484	465.406181	-1.44881945	5.99278143	7.46094957	1955.11569	-1.31807915	35.3960732	0.177335667	liquid
27.4685050	41.0700000	89.9233593	0.0111205810	13.5228569	470.245118	-1.27056601	6.04553567	7.58068839	1951.81260	-1.29413515	34.1322324	0.179060601	liquid
28.1119100	41.0700000	89.6736606	0.0111515465	17.1670191	475.161036	-1.09366957	6.09772213	7.70018836	1948.49752	-1.27094528	32.9554335	0.180697491	liquid
28.7553150	41.0700000	89.4209479	0.0111830619	20.8653271	480.153681	-0.918077594	6.14915372	7.81914747	1945.16410	-1.24852392	31.8575498	0.182247895	liquid
29.3987200	41.0700000	89.1653463	0.0112151193	24.6176685	485.222620	-0.743747293	6.19967116	7.93730114	1941.80766	-1.22687521	30.8314036	0.183713466	liquid
30.0421250	41.0700000	88.9069799	0.0112477108	28.4237740	490.367257	-0.570644012	6.24914082	8.05441958	1938.42487	-1.20599502	29.8706340	0.185095937	liquid
30.6855300	41.0700000	88.6459711	0.0112808285	32.2832351	495.586863	-0.398739828	6.29745249	8.17030495	1935.01354	-1.18587268	28.9695857	0.186397114	liquid
31.3289350	41.0700000	88.3824405	0.0113144647	36.1955228	500.880587	-0.228012354	6.34451713	8.28478848	1931.57238	-1.16649247	28.1232161	0.187618865	liquid
31.9723400	41.0700000	88.1165060	0.0113486116	40.1600028	506.247480	-0.0584437285	6.39026462	8.39772773	1928.10082	-1.14783486	27.3270155	0.188763106	liquid
32.6157450	41.0700000	87.8482833	0.0113832617	44.1759511	511.686510	0.109980242	6.43464171	8.50900395	1924.59886	-1.12987751	26.5769403	0.189831797	liquid
33.2591500	41.0700000	87.5778849	0.0114184078	48.2425671	517.196574	0.277270811	6.47761002	8.61851949	1921.06698	-1.11259618	25.8693552	0.190826931	supercritical
33.9025550	41.0700000	87.3054206	0.0114540425	52.3589857	522.776512	0.443436894	6.51914424	8.72619557	1917.50599	-1.09596534	25.2009842	0.191750528	supercritical
34.5459600	41.0700000	87.0309971	0.0114901591	56.5242887	528.425121	0.608485585	6.55923045	8.83197012	1913.91697	-1.07995879	24.5688681	0.192604627	supercritical
35.1893650	41.0700000	86.7547181	0.0115267506	60.7375142	534.141162	0.772422577	6.59786463	8.93579577	1910.30122	-1.06455006	23.9703279	0.193391278	supercritical
35.8327700	41.0700000	86.4766844	0.0115638106	64.9976657	539.923367	0.935252515	6.63505132	9.03763816	1906.66018	-1.04971277	23.4029334	0.194112541	supercritical
36.4761750	41.0700000	86.1969934	0.0116013327	69.3037197	545.770455	1.09697929	6.67080239	9.13747430	1902.99539	-1.03542090	22.8644750	0.194770475	supercritical
37.1195800	41.0700000	85.9157399	0.0116393108	73.6546327	551.681128	1.25760627	6.70513596	9.23529114	1899.30847	-1.02164897	22.3529403	0.195367136	supercritical
